City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gigmoto,PH,2022-11-26 14:52:53,13.7796,124.39,79.41,79,4,9.22
1,Panarukan,ID,2022-11-26 14:52:53,-7.7018,113.9184,77.07,85,100,3.6
2,Airai,TL,2022-11-26 14:52:54,-8.9266,125.4092,61.54,91,100,2.35
3,Bud,US,2022-11-26 14:52:54,39.447,-86.1758,43.75,47,0,5.23
4,Sfantu Gheorghe,RO,2022-11-26 14:52:55,45.8667,25.7833,37.92,78,100,3.0
5,Jeremie,HT,2022-11-26 14:52:55,18.65,-74.1167,83.26,65,5,4.21
6,Mataura,NZ,2022-11-26 14:52:55,-46.1927,168.8643,39.97,87,68,1.68
7,Yellowknife,CA,2022-11-26 14:52:56,62.456,-114.3525,-2.06,99,94,2.37
8,Kapaa,US,2022-11-26 14:52:56,22.0752,-159.319,70.12,86,100,20.71
9,Kitaibaraki,JP,2022-11-26 14:52:57,36.7833,140.75,55.33,80,1,6.51
10,Hobart,AU,2022-11-26 14:48:55,-42.8794,147.3294,57.06,75,75,14.97
11,Nikolskoye,RU,2022-11-26 14:52:57,59.7035,30.7861,13.91,86,98,6.55
12,Puerto Ayora,EC,2022-11-26 14:52:58,-0.7393,-90.3518,71.56,98,100,4.0
13,Tuktoyaktuk,CA,2022-11-26 14:52:58,69.4541,-133.0374,5.0,85,100,11.5
14,Atuona,PF,2022-11-26 14:51:42,-9.8,-139.0333,77.58,71,91,15.93
15,Dikson,RU,2022-11-26 14:52:59,73.5069,80.5464,12.18,94,100,14.47
16,Busselton,AU,2022-11-26 14:52:59,-33.65,115.3333,53.98,76,2,13.02
17,Camacha,PT,2022-11-26 14:52:59,33.0833,-16.3333,69.22,60,40,5.75
18,Rikitea,PF,2022-11-26 14:49:19,-23.1203,-134.9692,73.99,77,56,1.3
19,Tsiroanomandidy,MG,2022-11-26 14:53:00,-18.7667,46.0333,79.57,45,12,6.98
20,Hazleton,US,2022-11-26 14:50:56,40.9584,-75.9746,42.08,69,0,4.61
21,Cape Town,ZA,2022-11-26 14:52:29,-33.9258,18.4232,72.12,54,20,31.07
22,Ushuaia,AR,2022-11-26 14:51:34,-54.8,-68.3,47.86,66,75,20.71
23,Along,IN,2022-11-26 14:53:01,28.1667,94.7667,57.29,66,0,1.95
24,Semenyih,MY,2022-11-26 14:53:02,2.9516,101.843,82.22,97,43,2.86
25,Vaini,TO,2022-11-26 14:53:02,-21.2,-175.2,78.96,94,40,5.75
26,Pokosnoye,RU,2022-11-26 14:53:02,55.5258,101.0536,-8.64,87,100,13.49
27,Arraial Do Cabo,BR,2022-11-26 14:53:03,-22.9661,-42.0278,78.76,69,20,12.66
28,Cherskiy,RU,2022-11-26 14:53:03,68.75,161.3,-19.14,100,99,3.98
29,Seoul,KR,2022-11-26 14:49:28,37.5683,126.9778,35.04,55,0,5.75
30,Punta Arenas,CL,2022-11-26 14:48:53,-53.15,-70.9167,53.62,46,75,25.32
31,Khatanga,RU,2022-11-26 14:53:04,71.9667,102.5,-13.0,96,100,16.08
32,Te Anau,NZ,2022-11-26 14:53:04,-45.4167,167.7167,39.67,94,90,3.22
33,Srednekolymsk,RU,2022-11-26 14:53:05,67.45,153.6833,-30.41,100,88,4.74
34,Lavrentiya,RU,2022-11-26 14:53:05,65.5833,-171.0,8.35,79,97,9.37
35,Ilulissat,GL,2022-11-26 14:53:06,69.2167,-51.1,6.08,96,100,3.31
36,Bluff,NZ,2022-11-26 14:53:06,-46.6,168.3333,47.84,64,93,4.05
37,Hilo,US,2022-11-26 14:53:06,19.7297,-155.09,66.25,90,13,5.01
38,Bereda,ES,2022-11-26 14:53:07,43.2686,-7.5406,60.42,57,97,4.36
39,Broome,US,2022-11-26 14:53:07,42.2506,-75.833,43.2,72,6,4.0
40,Butaritari,KI,2022-11-26 14:53:08,3.0707,172.7902,79.25,81,100,6.02
41,Paracuru,BR,2022-11-26 14:53:08,-3.41,-39.0306,83.1,56,99,13.87
42,Giyani,ZA,2022-11-26 14:53:09,-23.3025,30.7187,83.39,50,81,6.96
43,Port Alfred,ZA,2022-11-26 14:53:09,-33.5906,26.891,65.17,85,87,3.0
44,Asau,RO,2022-11-26 14:53:10,46.4333,26.4,40.28,88,98,0.78
45,Cavalcante,BR,2022-11-26 14:53:10,-13.7975,-47.4583,75.42,78,100,3.71
46,Talnakh,RU,2022-11-26 14:53:10,69.4865,88.3972,-18.8,99,100,8.5
47,Vao,NC,2022-11-26 14:54:11,-22.6667,167.4833,72.97,66,8,8.9
48,Praia Da Vitoria,PT,2022-11-26 14:54:12,38.7333,-27.0667,64.76,72,20,13.58
49,Tiksi,RU,2022-11-26 14:54:12,71.6872,128.8694,-20.22,97,100,8.41
50,Araouane,ML,2022-11-26 14:54:13,18.9048,-3.5265,86.02,8,99,12.62
51,Isla Mujeres,MX,2022-11-26 14:54:13,21.2311,-86.731,82.17,72,99,12.21
52,Kalmunai,LK,2022-11-26 14:54:14,7.4167,81.8167,78.26,81,28,2.44
53,Ngunguru,NZ,2022-11-26 14:54:14,-35.6167,174.5,57.85,88,100,5.59
54,Nouadhibou,MR,2022-11-26 14:54:15,20.931,-17.0347,75.47,51,0,8.63
55,Yamethin,MM,2022-11-26 14:54:15,20.4333,96.15,73.8,74,37,2.93
56,Albany,US,2022-11-26 14:54:15,42.6001,-73.9662,43.36,66,41,4.0
57,Upernavik,GL,2022-11-26 14:54:16,72.7868,-56.1549,13.86,89,100,11.12
58,Longyearbyen,SJ,2022-11-26 14:54:16,78.2186,15.6401,15.64,86,0,4.61
59,Lasa,IT,2022-11-26 14:54:17,46.6166,10.7002,47.28,92,10,5.46
60,Mayenne,FR,2022-11-26 14:54:17,48.3333,-0.6667,51.24,86,100,11.45
61,Ruidoso,US,2022-11-26 14:54:18,33.3317,-105.673,33.94,37,9,10.36
62,Narrabri,AU,2022-11-26 14:54:18,-30.3167,149.7833,69.3,34,95,3.8
63,Barrow,US,2022-11-26 14:54:18,71.2906,-156.7887,8.62,78,100,8.05
64,Nandi Hills,KE,2022-11-26 14:54:19,0.1066,35.1838,76.08,62,93,1.72
65,Himare,AL,2022-11-26 14:54:19,40.1017,19.7447,57.0,52,100,9.15
66,Bethel,US,2022-11-26 14:49:46,41.3712,-73.414,47.01,59,0,9.22
67,Padang,ID,2022-11-26 14:54:20,-0.9492,100.3543,75.25,86,75,3.62
68,Balykshi,KZ,2022-11-26 14:54:20,47.0667,51.8667,33.8,80,75,22.37
69,East London,ZA,2022-11-26 14:54:21,-33.0153,27.9116,67.14,72,40,10.36
70,Roald,NO,2022-11-26 14:54:21,62.5833,6.1333,50.92,62,40,10.36
71,Sao Filipe,CV,2022-11-26 14:54:22,14.8961,-24.4956,78.98,64,0,11.07
72,Cumaral,CO,2022-11-26 14:54:22,4.2708,-73.4867,81.25,70,100,3.67
73,Thompson,CA,2022-11-26 14:54:22,55.7435,-97.8558,23.16,93,100,5.75
74,Klaksvik,FO,2022-11-26 14:54:23,62.2266,-6.589,50.92,95,100,26.31
75,Namatanai,PG,2022-11-26 14:54:23,-3.6667,152.4333,79.7,81,68,5.26
76,Hamilton,US,2022-11-26 14:54:24,39.1834,-84.5333,43.93,85,0,1.99
77,Victoria,HK,2022-11-26 14:52:23,22.2855,114.1577,74.25,88,91,11.01
78,Jamestown,US,2022-11-26 14:54:24,42.097,-79.2353,41.72,79,0,8.01
79,Saint-Pierre,RE,2022-11-26 14:54:25,-21.3393,55.4781,78.48,65,0,14.97
80,Tiznit,MA,2022-11-26 14:54:25,29.5833,-9.5,82.44,11,0,5.46
81,Nome,US,2022-11-26 14:54:26,64.5011,-165.4064,23.07,80,75,16.11
82,Conceicao Do Mato Dentro,BR,2022-11-26 14:54:26,-19.0372,-43.425,79.56,66,59,3.74
83,Ganzhou,CN,2022-11-26 14:54:27,28.8184,115.4327,62.67,77,3,1.66
84,Karratha,AU,2022-11-26 14:53:15,-20.7377,116.8463,80.4,62,0,15.9
85,Coihaique,CL,2022-11-26 14:54:28,-45.5752,-72.0662,57.81,41,0,3.44
86,Half Moon Bay,US,2022-11-26 14:54:28,37.4636,-122.4286,54.0,81,75,5.75
87,Norman Wells,CA,2022-11-26 14:51:00,65.282,-126.8329,8.64,85,100,0.0
88,Severo-Kurilsk,RU,2022-11-26 14:54:28,50.6789,156.125,35.65,86,100,24.87
89,Port Elizabeth,ZA,2022-11-26 14:54:29,-33.918,25.5701,72.1,64,0,13.8
90,Khandyga,RU,2022-11-26 14:54:29,62.6667,135.6,-50.08,100,63,0.36
91,Clyde River,CA,2022-11-26 14:55:30,70.4692,-68.5914,-16.37,83,0,3.44
92,Mogadishu,SO,2022-11-26 14:52:29,2.0371,45.3438,82.27,78,75,12.66
93,Urengoy,RU,2022-11-26 14:55:31,65.9667,78.3667,-17.5,100,35,5.19
94,Tasiilaq,GL,2022-11-26 14:55:31,65.6145,-37.6368,25.84,60,100,9.62
95,Bandarbeyla,SO,2022-11-26 14:55:32,9.4942,50.8122,79.18,77,2,16.06
96,Tigil,RU,2022-11-26 14:55:32,57.8,158.6667,1.62,87,100,1.72
97,Grand-Santi,GF,2022-11-26 14:55:32,4.25,-54.3833,92.34,46,19,3.09
98,Rio Grande,BR,2022-11-26 14:55:33,-32.035,-52.0986,82.51,75,54,12.39
99,Leningradskiy,RU,2022-11-26 14:55:33,69.3833,178.4167,-8.1,91,100,1.88
100,Vardo,NO,2022-11-26 14:55:34,70.3705,31.1107,30.18,80,100,16.11
101,Ukiah,US,2022-11-26 14:55:34,39.1502,-123.2078,49.64,86,48,2.86
102,Vila Velha,BR,2022-11-26 14:55:35,-20.3297,-40.2925,82.35,72,75,13.0
103,Kodiak,US,2022-11-26 14:55:35,57.79,-152.4072,33.06,60,0,25.86
104,Cabras,IT,2022-11-26 14:55:35,39.93,8.5314,59.54,62,62,17.52
105,Bend,US,2022-11-26 14:55:36,44.0582,-121.3153,29.46,90,0,0.0
106,Necochea,AR,2022-11-26 14:55:37,-38.5473,-58.7368,80.65,35,77,8.57
107,Ancud,CL,2022-11-26 14:55:37,-41.8697,-73.8203,62.6,51,21,6.08
108,Eyl,SO,2022-11-26 14:55:37,7.9803,49.8164,79.63,73,2,16.8
109,Tezu,IN,2022-11-26 14:55:38,27.9167,96.1667,63.63,49,0,4.47
110,Torbay,CA,2022-11-26 14:55:38,47.6666,-52.7314,38.57,91,100,12.66
111,Lorengau,PG,2022-11-26 14:55:39,-2.0226,147.2712,81.16,74,32,6.2
112,Baherden,TM,2022-11-26 14:55:39,38.4362,57.4316,60.75,35,10,8.79
113,Ashtian,IR,2022-11-26 14:55:39,34.5217,50.0019,47.41,62,14,17.87
114,San Ignacio,BZ,2022-11-26 14:55:40,17.1561,-89.0714,73.54,94,20,0.0
115,Poum,NC,2022-11-26 14:54:07,-20.2333,164.0167,77.81,71,38,11.7
116,Gizo,SB,2022-11-26 14:55:40,-8.103,156.8419,82.0,78,21,5.57
117,Itarema,BR,2022-11-26 14:55:22,-2.9248,-39.9167,88.45,53,95,16.22
118,Kaitangata,NZ,2022-11-26 14:55:41,-46.2817,169.8464,38.77,89,24,6.26
119,Avarua,CK,2022-11-26 14:55:42,-21.2078,-159.775,73.45,83,100,3.44
120,Charters Towers,AU,2022-11-26 14:55:42,-20.1,146.2667,73.67,84,29,11.59
121,Hermanus,ZA,2022-11-26 14:55:42,-34.4187,19.2345,69.8,58,15,20.15
122,Bonavista,CA,2022-11-26 14:55:43,48.6499,-53.1147,36.99,88,100,18.9
123,Escarcega,MX,2022-11-26 14:55:43,18.6089,-90.7454,79.65,77,79,7.0
124,Mar Del Plata,AR,2022-11-26 14:55:44,-38.0023,-57.5575,68.95,85,75,10.0
125,Sakakah,SA,2022-11-26 14:55:44,29.9697,40.2064,69.37,45,1,6.49
126,Sola,VU,2022-11-26 14:55:45,-13.8833,167.55,80.8,73,68,5.97
127,Jiaohe,CN,2022-11-26 14:55:45,43.7286,127.3447,16.63,62,11,2.98
128,Flin Flon,CA,2022-11-26 14:55:45,54.7682,-101.865,28.24,80,100,4.61
129,Aksu,CN,2022-11-26 14:55:46,41.1231,80.2644,49.41,16,69,17.9
130,Calvinia,ZA,2022-11-26 14:55:46,-31.4707,19.776,77.34,16,0,18.97
131,Tilichiki,RU,2022-11-26 14:55:47,60.4667,166.1,-8.3,100,92,9.48
132,Road Town,VG,2022-11-26 14:55:47,18.4167,-64.6167,84.24,70,20,6.91
133,Marzuq,YE,2022-11-26 14:55:47,14.4,46.4667,72.18,29,0,6.71
134,Katsuura,JP,2022-11-26 14:56:48,35.1333,140.3,63.12,83,70,11.23
135,Sobolevo,RU,2022-11-26 14:56:48,54.4299,31.8996,32.04,99,100,10.78
136,Olden,NO,2022-11-26 14:56:49,61.8364,6.8064,50.74,85,50,10.29
137,Ransang,PH,2022-11-26 14:56:49,8.9603,117.5828,78.96,83,19,3.4
138,Huanuco,PE,2022-11-26 14:56:50,-9.9329,-76.2415,74.57,37,11,5.88
139,Hithadhoo,MV,2022-11-26 14:56:50,-0.6,73.0833,82.17,74,37,10.4
140,Iqaluit,CA,2022-11-26 14:56:11,63.7506,-68.5145,6.53,65,100,0.0
141,Pisco,PE,2022-11-26 14:56:51,-13.7,-76.2167,68.05,83,100,5.75
142,Sarankhola,BD,2022-11-26 14:56:51,22.3082,89.7897,67.35,60,1,1.25
143,Ginda,IN,2022-11-26 14:56:51,30.6945,78.4932,52.0,40,58,6.46
144,Svetlyy,RU,2022-11-26 14:56:52,54.675,20.1347,33.96,91,100,2.91
145,Flinders,AU,2022-11-26 14:56:52,-34.5833,150.8552,62.38,78,45,5.01
146,Saint-Philippe,RE,2022-11-26 14:56:53,-21.3585,55.7679,78.39,75,34,11.14
147,Abu Kamal,SY,2022-11-26 14:56:53,34.4506,40.9171,66.38,41,93,7.29
148,Saint George,US,2022-11-26 14:56:54,37.1041,-113.5841,43.32,43,0,0.2
149,Ayan,RU,2022-11-26 14:56:54,56.45,138.1667,0.84,80,96,13.65
150,Surt,LY,2022-11-26 14:56:55,31.2089,16.5887,73.04,52,68,10.98
151,Borogontsy,RU,2022-11-26 14:56:55,62.6683,131.1683,-48.89,100,59,1.5
152,Ilanskiy,RU,2022-11-26 14:56:55,56.2358,96.065,-13.99,85,100,10.33
153,Maralal,KE,2022-11-26 14:56:56,1.0968,36.698,65.3,61,100,13.87
154,Faanui,PF,2022-11-26 14:56:56,-16.4833,-151.75,78.64,71,49,14.34
155,Henties Bay,NA,2022-11-26 14:56:57,-22.116,14.2845,62.13,74,1,15.12
156,Armidale,AU,2022-11-26 14:56:57,-30.5167,151.65,50.09,86,48,2.44
157,Dunedin,NZ,2022-11-26 14:56:49,-45.8742,170.5036,45.81,85,43,5.91
158,Ribeira Grande,PT,2022-11-26 14:56:58,38.5167,-28.7,64.8,52,20,11.5
159,Tunceli,TR,2022-11-26 14:56:58,39.1083,39.5471,45.05,93,100,1.14
160,Qaanaaq,GL,2022-11-26 14:56:58,77.484,-69.3632,-0.47,79,99,5.28
161,Cabo San Lucas,MX,2022-11-26 14:53:46,22.8909,-109.9124,71.51,66,0,3.65
162,Otradnoye,RU,2022-11-26 14:56:59,59.7775,30.8181,14.09,86,97,6.49
163,Kununurra,AU,2022-11-26 14:56:59,-15.7667,128.7333,82.38,78,100,3.44
164,Coxim,BR,2022-11-26 14:57:00,-18.5067,-54.76,97.18,21,9,6.62
165,Vetluga,RU,2022-11-26 14:57:00,57.8557,45.781,9.68,97,61,4.61
166,Sao Joao Da Barra,BR,2022-11-26 14:57:00,-21.6403,-41.0511,82.49,86,100,12.24
167,Bardiyah,LY,2022-11-26 14:57:01,31.7561,25.0865,64.49,59,100,7.76
168,Pevek,RU,2022-11-26 14:57:01,69.7008,170.3133,-17.3,98,95,5.86
169,Westport,US,2022-11-26 14:55:33,41.1415,-73.3579,48.88,56,6,5.01
170,Nemuro,JP,2022-11-26 14:57:02,43.3236,145.575,47.7,68,100,14.85
171,Fairbanks,US,2022-11-26 14:52:58,64.8378,-147.7164,17.56,89,100,0.0
172,Grong,NO,2022-11-26 14:57:03,64.4654,12.3149,34.88,93,28,4.68
173,Moberly,US,2022-11-26 14:57:03,39.4184,-92.4382,39.92,77,0,8.05
174,Uberlandia,BR,2022-11-26 14:57:04,-18.9186,-48.2772,78.01,57,40,8.05
175,Hofn,IS,2022-11-26 14:57:04,64.2539,-15.2082,42.03,90,100,14.18
176,Huntington Beach,US,2022-11-26 14:52:44,33.6603,-117.9992,61.41,43,0,0.0
177,Sangar,RU,2022-11-26 14:57:05,63.9242,127.4739,-40.52,99,47,1.28
178,Gambela,ET,2022-11-26 14:57:05,8.25,34.5833,86.07,40,42,3.29
179,Alofi,NU,2022-11-26 14:57:05,-19.0595,-169.9187,69.69,94,1,1.14
180,Marsabit,KE,2022-11-26 14:58:06,2.3284,37.9899,71.19,56,100,12.8
181,Plettenberg Bay,ZA,2022-11-26 14:58:06,-34.0527,23.3716,65.16,60,6,7.0
182,Sioux Lookout,CA,2022-11-26 14:58:07,50.1001,-91.917,33.87,86,100,5.75
183,Ardesen,TR,2022-11-26 14:58:07,41.1911,40.9875,54.72,89,100,12.73
184,Tchaourou,BJ,2022-11-26 14:58:07,8.8865,2.5975,95.36,16,61,3.69
185,Port Hardy,CA,2022-11-26 14:58:08,50.6996,-127.4199,42.98,100,100,3.44
186,Puerto Colombia,CO,2022-11-26 14:58:08,10.9878,-74.9547,82.49,72,76,4.25
187,Chatham,GB,2022-11-26 14:55:57,51.3789,0.5279,54.88,63,100,5.99
188,Shushtar,IR,2022-11-26 14:58:09,32.0455,48.8567,74.98,41,40,3.91
189,Avera,US,2022-11-26 14:58:09,33.194,-82.5271,55.38,57,7,9.37
190,Chuy,UY,2022-11-26 14:58:10,-33.6971,-53.4616,78.57,46,0,11.03
191,San Patricio,US,2022-11-26 14:58:10,28.017,-97.5169,57.07,73,69,16.42
192,Iranshahr,IR,2022-11-26 14:58:11,27.2025,60.6848,77.34,20,0,4.61
193,Novoagansk,RU,2022-11-26 14:58:11,61.9449,76.6625,-7.06,97,82,9.08
194,Selty,RU,2022-11-26 14:58:12,57.3132,52.1345,20.97,95,100,7.54
195,Korla,CN,2022-11-26 14:58:12,41.7597,86.1469,38.88,34,69,3.11
196,Kestel,TR,2022-11-26 14:58:13,40.1983,29.2124,45.88,76,94,4.74
197,Chokurdakh,RU,2022-11-26 14:58:13,70.6333,147.9167,-42.11,100,94,2.8
198,Buenavista,PH,2022-11-26 14:58:13,8.9769,125.4089,74.84,86,59,4.99
199,Sarkand,KZ,2022-11-26 14:58:14,45.41,79.9186,-0.76,94,100,1.95
200,Castro,BR,2022-11-26 14:58:14,-24.7911,-50.0119,65.93,78,88,8.52
201,Tucuma,BR,2022-11-26 14:58:15,-0.1833,-50.05,90.34,49,46,7.74
202,Sinop,TR,2022-11-26 14:58:15,41.7711,34.8709,44.49,91,100,4.27
203,Lagoa,PT,2022-11-26 14:58:16,39.05,-27.9833,60.8,56,100,13.91
204,Coquimbo,CL,2022-11-26 14:58:16,-29.9533,-71.3436,60.53,88,100,6.91
205,Zhigansk,RU,2022-11-26 14:58:16,66.7697,123.3711,-36.31,98,95,7.72
206,Genhe,CN,2022-11-26 14:58:17,50.7833,121.5167,-16.73,100,99,1.32
207,Eureka,US,2022-11-26 14:58:17,40.8021,-124.1637,47.59,94,70,1.01
208,Omboue,GA,2022-11-26 14:58:18,-1.5746,9.2618,77.7,83,96,5.59
209,Kahului,US,2022-11-26 14:55:36,20.8947,-156.47,69.84,91,100,5.75
210,Esperance,AU,2022-11-26 14:58:18,-33.8667,121.9,59.72,63,99,13.11
211,Puerto Madero,MX,2022-11-26 14:58:19,14.7208,-92.4215,79.45,77,97,3.42
212,Swan Hill,AU,2022-11-26 14:58:19,-35.3378,143.5544,66.47,61,100,7.99
213,Baruun-Urt,MN,2022-11-26 14:58:20,46.6806,113.2792,12.65,72,100,5.28
214,Tual,ID,2022-11-26 14:58:20,-5.6667,132.75,84.36,71,51,9.22
215,Alta Floresta,BR,2022-11-26 14:58:21,-9.8756,-56.0861,80.42,83,75,2.3
216,New Norfolk,AU,2022-11-26 14:58:21,-42.7826,147.0587,56.7,66,97,3.0
217,Naze,JP,2022-11-26 14:58:22,28.3667,129.4833,67.12,69,72,15.48
218,Wexford,IE,2022-11-26 14:58:22,52.3342,-6.4575,55.62,100,100,15.01
219,Burnie,AU,2022-11-26 14:58:23,-41.0667,145.9167,57.94,96,88,13.67
220,Darnah,LY,2022-11-26 14:58:23,32.767,22.6367,64.51,57,100,5.08
221,Lyaskelya,RU,2022-11-26 14:58:24,61.7667,31.0167,16.09,94,81,6.04
222,Quatre Cocos,MU,2022-11-26 14:58:24,-20.2078,57.7625,77.11,68,61,14.03
223,Rorvik,NO,2022-11-26 14:58:24,64.8621,11.2373,42.91,61,75,13.8
224,Nabire,ID,2022-11-26 14:58:25,-3.3667,135.4833,75.54,91,98,3.11
225,Conceicao Do Araguaia,BR,2022-11-26 14:58:25,-8.2578,-49.2647,71.17,97,100,5.57
226,Charlestown,AU,2022-11-26 14:57:14,-32.95,151.6667,63.86,89,74,6.26
227,Ahipara,NZ,2022-11-26 14:59:26,-35.1667,173.1667,56.84,94,81,6.29
228,Namibe,AO,2022-11-26 14:59:26,-15.1961,12.1522,75.29,71,23,10.13
229,Vestmannaeyjar,IS,2022-11-26 14:59:27,63.4427,-20.2734,40.19,87,0,6.91
230,Dawson Creek,CA,2022-11-26 14:59:27,55.7666,-120.2362,38.84,56,0,11.5
231,Benjamin Hill,MX,2022-11-26 14:59:28,30.1667,-111.1,49.95,40,0,5.03
232,Paamiut,GL,2022-11-26 14:59:28,61.994,-49.6678,23.09,86,19,9.37
233,North Bend,US,2022-11-26 14:56:00,43.4065,-124.2243,38.07,100,40,0.0
234,Bredasdorp,ZA,2022-11-26 14:59:29,-34.5322,20.0403,66.61,51,60,14.29
235,Grindavik,IS,2022-11-26 14:59:29,63.8424,-22.4338,39.15,100,0,3.44
236,Norilsk,RU,2022-11-26 14:59:30,69.3535,88.2027,-18.58,99,99,6.51
237,Georgetown,MY,2022-11-26 14:57:01,5.4112,100.3354,84.15,80,20,4.61
238,Guymon,US,2022-11-26 14:59:30,36.6828,-101.4816,41.27,70,100,7.4
239,Berezanka,UA,2022-11-26 14:58:42,46.8526,31.388,38.91,91,100,15.26
240,Saldanha,ZA,2022-11-26 14:59:31,-33.0117,17.9442,73.45,69,0,31.09
241,Semey,KZ,2022-11-26 14:59:31,50.4111,80.2275,-9.08,93,100,9.86
242,Rocha,UY,2022-11-26 14:59:26,-34.4833,-54.3333,83.32,38,0,9.46
243,Beyneu,KZ,2022-11-26 14:59:32,45.3167,55.2,39.83,75,91,25.5
244,Rio Gallegos,AR,2022-11-26 14:59:32,-51.6226,-69.2181,59.05,23,0,18.41
245,Sorland,NO,2022-11-26 14:59:33,67.667,12.6934,42.66,69,100,15.03
246,Nanortalik,GL,2022-11-26 14:59:33,60.1432,-45.2371,36.28,80,100,7.07
247,Mahebourg,MU,2022-11-26 14:59:34,-20.4081,57.7,77.29,69,40,11.5
248,Tevriz,RU,2022-11-26 14:59:34,57.509,72.4042,-8.07,94,100,2.91
249,Dumai,ID,2022-11-26 14:59:34,1.6833,101.45,75.51,92,77,2.1
250,Marawi,PH,2022-11-26 14:59:35,7.9986,124.2928,68.25,97,100,1.28
251,Port Lincoln,AU,2022-11-26 14:59:35,-34.7333,135.8667,57.92,80,38,10.02
252,Port Keats,AU,2022-11-26 14:59:36,-14.25,129.55,81.5,79,100,6.67
253,Marzanesti,RO,2022-11-26 14:59:36,43.9333,25.4667,45.68,64,7,2.3
254,Edd,ER,2022-11-26 14:59:36,13.9297,41.6925,84.56,57,3,17.27
255,Bambous Virieux,MU,2022-11-26 14:55:09,-20.3428,57.7575,77.25,69,40,11.5
256,Carutapera,BR,2022-11-26 14:59:37,-1.195,-46.02,88.56,53,83,8.84
257,Guatire,VE,2022-11-26 14:59:37,10.4762,-66.5427,85.69,76,95,4.07
258,Saint-Ambroise,CA,2022-11-26 14:59:38,48.5501,-71.3324,30.74,80,100,8.05
259,Cooma,AU,2022-11-26 14:59:38,-36.2333,149.1333,53.92,76,69,3.29
